product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
87285b34884572647811a353c7ac498a,utilidades_domesticas,40,268,4,500.0,19.0,8.0,13.0
883cea107372a7f07b5830904f74952d,utilidades_domesticas,53,220,1,1125.0,36.0,43.0,36.0
fdf9ec5852bb18d630e683e3c796972d,utilidades_domesticas,55,2564,1,1434.0,37.0,12.0,32.0
fa05881d3eb7ffec2322b507ed3ccc6b,utilidades_domesticas,60,291,5,225.0,31.0,13.0,28.0
fa39c60599eb6573020f07a1b4dd38cf,utilidades_domesticas,52,806,1,1183.0,38.0,18.0,26.0
bb32b03270ad3f5a8aa9474d354119ab,utilidades_domesticas,56,843,2,500.0,30.0,20.0,30.0
cb035acb0af5f79c8ebad476b968574a,utilidades_domesticas,35,1174,1,1000.0,34.0,10.0,21.0
97f1396a5a1f7c07ba51784efdec44b8,utilidades_domesticas,60,1632,8,1400.0,43.0,18.0,18.0
be021417a6acb56b9b50d3fd2714baa8,utilidades_domesticas,48,664,6,14300.0,38.0,34.0,34.0
bd144d5290d032a564563d75e98be4e8,utilidades_domesticas,57,1513,1,875.0,21.0,21.0,21.0
060109450b2f49e4d5c4fdfd3d8ebc34,utilidades_domesticas,56,497,3,450.0,18.0,8.0,13.0
e25331bf25687974d6fc419b3bd576dd,utilidades_domesticas,48,1270,2,350.0,20.0,15.0,15.0
91d48f051858be85a524d623648cdf0d,utilidades_domesticas,36,336,1,950.0,22.0,2.0,20.0
1f0fa82e30437fd4a2596a4ad75d8ee0,utilidades_domesticas,53,462,1,530.0,17.0,17.0,19.0
5bf681c3d83a332fbb49765e3e572145,utilidades_domesticas,44,205,6,100.0,16.0,7.0,20.0
a5a0e71a81ae65aa335e71c06261e260,utilidades_domesticas,57,698,3,705.0,34.0,22.0,28.0
16ed6a6e3fce23b741650437fe58d65b,utilidades_domesticas,49,1226,1,750.0,35.0,15.0,35.0
2d9b49aa7510c59fca0cca0e1dc0e0ca,utilidades_domesticas,54,537,1,1550.0,25.0,10.0,20.0
3d4609bbecb3db49babe621f46b1b8fb,utilidades_domesticas,41,1181,3,300.0,25.0,10.0,15.0
978859c6048ded0fa8bf3b9ea8236387,utilidades_domesticas,59,299,1,350.0,33.0,4.0,20.0
b5c114b11d53b6fd85a6a90790f0b479,utilidades_domesticas,30,678,3,267.0,24.0,15.0,12.0
26d7caa7e5b0fd27401cea553f5fce36,utilidades_domesticas,54,285,1,200.0,26.0,3.0,21.0
ed739dfa91e2c770354726fe0bf9cc72,utilidades_domesticas,48,798,6,250.0,22.0,5.0,14.0
4338d9da0d2fabd85d1f0adb30b2789d,utilidades_domesticas,50,2746,1,250.0,20.0,13.0,16.0
98ef57aa2a72c64d8b7b53a64b6b6584,utilidades_domesticas,50,273,1,500.0,37.0,3.0,11.0
0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45,561,2,553.0,18.0,9.0,15.0
44afebe5ba695261a126f43a4b29d814,utilidades_domesticas,49,465,1,2963.0,45.0,33.0,32.0
28f2e74ecd7f12eab02ca9b3c2bd9c5f,utilidades_domesticas,45,353,1,1100.0,16.0,20.0,26.0
7e7e1af4ab49963c6e1245b2dbd8f492,utilidades_domesticas,63,447,3,1250.0,38.0,10.0,24.0
802b8430511a39ecdad069cf6c7dd812,utilidades_domesticas,60,1519,7,300.0,25.0,10.0,16.0
3003a2841d6a775095317139ed2f7943,utilidades_domesticas,43,309,1,1205.0,39.0,24.0,23.0
e9a69340883a438c3f91739d14d3a56d,utilidades_domesticas,60,1912,5,3000.0,33.0,12.0,34.0
941fede5c398c3c84cac6e6c832c2b11,utilidades_domesticas,52,230,3,3000.0,25.0,16.0,25.0
e132c414f9160348b91b777cd060f815,utilidades_domesticas,46,721,7,1500.0,22.0,29.0,22.0
30ac6df06dc59ad72cf2f158fc2d904c,utilidades_domesticas,53,1034,2,16550.0,22.0,65.0,40.0
5994a2fdff4b0f9ca4376c4226adb442,utilidades_domesticas,42,464,4,8300.0,102.0,14.0,34.0
ee97db3ef647a016f3bb7376f8a3ffcd,utilidades_domesticas,58,832,4,200.0,18.0,8.0,14.0
48aacddd51c3196ea66bf15d9f131c6b,utilidades_domesticas,46,175,2,649.0,16.0,18.0,17.0
79f6572780845bf4fa186acf04e4f67a,utilidades_domesticas,55,126,1,800.0,16.0,20.0,15.0
5a6e53c3b4e8684b13388d6aa4afdf12,utilidades_domesticas,45,176,2,200.0,19.0,9.0,12.0
c9341fe3a3cf071d813a92b6b012efde,utilidades_domesticas,55,1899,1,700.0,17.0,9.0,17.0
61509eaebb2d4bd1a7511b1a75703f8c,utilidades_domesticas,50,500,1,300.0,25.0,2.0,17.0
b072088eb78d8d816d4c80cb1851a6f6,utilidades_domesticas,56,355,3,1900.0,38.0,19.0,35.0
12530458b22303a822da23e0ef0c400b,utilidades_domesticas,60,416,2,950.0,43.0,17.0,24.0
d1e422d44f28b10c3899b6f494142de0,utilidades_domesticas,56,453,6,350.0,30.0,11.0,20.0
e15746c8f73cb5e9d74ae01533fa02a5,utilidades_domesticas,60,734,1,6550.0,32.0,20.0,21.0
e8d7b12572b213ba22acebb8983a4615,utilidades_domesticas,48,221,1,800.0,21.0,22.0,20.0
306599a052830af3cfebe42ee7a79dde,utilidades_domesticas,54,354,1,1250.0,30.0,30.0,30.0
aa8627a375771ab01288705307ec4ae5,utilidades_domesticas,53,493,1,5750.0,40.0,25.0,30.0
c985e917daf44dfe2779833209017098,utilidades_domesticas,55,882,1,200.0,19.0,5.0,25.0
